78887i8p2026-04-02 04:26:17,234  INFO      Stage 5 Training Loop — Start
2026-04-03 00:32:19,228  INFO      Epoch  17 | TrainLoss 0.0891 (BCE 0.1711 Huber 0.0072) | ValLoss 0.0907 (BCE 0.1734 Huber 0.0081) | Gap -0.0016 | ValAcc H1=0.529 H5=0.527 H20=0.525 | LR 1.25e-04 | GradNorm 0.007
2026-04-03 00:37:54,800  INFO      Epoch  18 | TrainLoss 0.0891 (BCE 0.1709 Huber 0.0072) | ValLoss 0.0908 (BCE 0.1736 Huber 0.0081) | Gap -0.0018 | ValAcc H1=0.529 H5=0.528 H20=0.523 | LR 1.10e-04 | GradNorm 0.007
2026-04-03 00:43:31,812  INFO      Epoch  19 | TrainLoss 0.0890 (BCE 0.1707 Huber 0.0072) | ValLoss 0.0908 (BCE 0.1735 Huber 0.0080) | Gap -0.0018 | ValAcc H1=0.530 H5=0.526 H20=0.525 | LR 9.61e-05 | GradNorm 0.007
2026-04-03 00:49:05,493  INFO      Epoch  20 | TrainLoss 0.0889 (BCE 0.1706 Huber 0.0072) | ValLoss 0.0909 (BCE 0.1738 Huber 0.0081) | Gap -0.0020 | ValAcc H1=0.529 H5=0.531 H20=0.525 | LR 8.25e-05 | GradNorm 0.008
2026-04-03 00:54:40,981  INFO      Epoch  21 | TrainLoss 0.0888 (BCE 0.1704 Huber 0.0072) | ValLoss 0.0909 (BCE 0.1738 Huber 0.0081) | Gap -0.0021 | ValAcc H1=0.532 H5=0.529 H20=0.527 | LR 6.98e-05 | GradNorm 0.008
2026-04-03 01:00:16,199  INFO      Epoch  22 | TrainLoss 0.0888 (BCE 0.1703 Huber 0.0072) | ValLoss 0.0908 (BCE 0.1736 Huber 0.0081) | Gap -0.0020 | ValAcc H1=0.531 H5=0.528 H20=0.524 | LR 5.80e-05 | GradNorm 0.009
2026-04-03 01:05:50,936  INFO      Epoch  23 | TrainLoss 0.0887 (BCE 0.1701 Huber 0.0072) | ValLoss 0.0908 (BCE 0.1736 Huber 0.0080) | Gap -0.0021 | ValAcc H1=0.530 H5=0.528 H20=0.527 | LR 4.73e-05 | GradNorm 0.009
2026-04-03 01:11:28,562  INFO      Epoch  24 | TrainLoss 0.0887 (BCE 0.1701 Huber 0.0072) | ValLoss 0.0908 (BCE 0.1736 Huber 0.0080) | Gap -0.0022 | ValAcc H1=0.530 H5=0.527 H20=0.524 | LR 3.77e-05 | GradNorm 0.010
2026-04-03 01:11:28,562  INFO        Early stopping at epoch 24 (no improvement for 20 epochs).
2026-04-03 01:11:28,566  INFO        Restored best weights (val_loss=0.0905  H1=0.533 H5=0.530 H20=0.517)
2026-04-03 01:11:28,566  INFO        SWA did not start (training ended before epoch 150)
2026-04-03 01:11:28,567  INFO        Restored best weights (val_loss=0.0905  H1=0.533 H5=0.530 H20=0.517)
2026-04-03 01:11:28,860  INFO        Saved checkpoint: models/base/checkpoint_fold_1.pt
2026-04-03 01:11:29,065  INFO        Saved metrics   : logs/training/fold_1_metrics.csv
2026-04-03 01:11:29,103  INFO      ============================================================
2026-04-03 01:11:29,104  INFO      FOLD 2 — Training
2026-04-03 01:11:29,137  INFO      Loading datasets...
2026-04-03 01:11:29,539  INFO          Index built: 99916 samples from 104 files
2026-04-03 01:11:43,198  INFO          Index built: 15428 samples from 104 files
2026-04-03 01:11:43,199  INFO        Train samples: 99916  Val samples: 15428
2026-04-03 01:11:43,286  INFO      Starting training — max 200 epochs, patience 20
2026-04-03 01:17:44,767  INFO      Epoch   1 | TrainLoss 0.0906 (BCE 0.1737 Huber 0.0075) | ValLoss 0.0897 (BCE 0.1724 Huber 0.0070) | Gap 0.0009 | ValAcc H1=0.542 H5=0.531 H20=0.513 | LR 3.00e-05 | GradNorm 0.008
2026-04-03 01:23:48,101  INFO      Epoch   2 | TrainLoss 0.0901 (BCE 0.1728 Huber 0.0075) | ValLoss 0.0896 (BCE 0.1722 Huber 0.0070) | Gap 0.0005 | ValAcc H1=0.544 H5=0.538 H20=0.519 | LR 6.00e-05 | GradNorm 0.007
2026-04-03 01:29:51,093  INFO      Epoch   3 | TrainLoss 0.0900 (BCE 0.1726 Huber 0.0074) | ValLoss 0.0895 (BCE 0.1721 Huber 0.0070) | Gap 0.0005 | ValAcc H1=0.545 H5=0.539 H20=0.526 | LR 9.00e-05 | GradNorm 0.006
2026-04-03 01:35:53,944  INFO      Epoch   4 | TrainLoss 0.0900 (BCE 0.1726 Huber 0.0074) | ValLoss 0.0896 (BCE 0.1723 Huber 0.0069) | Gap 0.0004 | ValAcc H1=0.544 H5=0.541 H20=0.515 | LR 1.20e-04 | GradNorm 0.006
2026-04-03 01:41:55,664  INFO      Epoch   5 | TrainLoss 0.0899 (BCE 0.1724 Huber 0.0074) | ValLoss 0.0896 (BCE 0.1722 Huber 0.0069) | Gap 0.0004 | ValAcc H1=0.541 H5=0.544 H20=0.528 | LR 1.50e-04 | GradNorm 0.005
2026-04-03 01:47:56,198  INFO      Epoch   6 | TrainLoss 0.0899 (BCE 0.1724 Huber 0.0074) | ValLoss 0.0896 (BCE 0.1722 Huber 0.0069) | Gap 0.0004 | ValAcc H1=0.547 H5=0.543 H20=0.529 | LR 1.80e-04 | GradNorm 0.005
2026-04-03 01:53:55,223  INFO      Epoch   7 | TrainLoss 0.0899 (BCE 0.1724 Huber 0.0074) | ValLoss 0.0897 (BCE 0.1724 Huber 0.0070) | Gap 0.0002 | ValAcc H1=0.542 H5=0.538 H20=0.526 | LR 2.10e-04 | GradNorm 0.005
2026-04-03 01:59:55,345  INFO      Epoch   8 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0074) | ValLoss 0.0897 (BCE 0.1724 Huber 0.0070) | Gap 0.0002 | ValAcc H1=0.544 H5=0.541 H20=0.527 | LR 2.40e-04 | GradNorm 0.005
2026-04-03 02:05:53,715  INFO      Epoch   9 | TrainLoss 0.0897 (BCE 0.1721 Huber 0.0074) | ValLoss 0.0896 (BCE 0.1722 Huber 0.0069) | Gap 0.0002 | ValAcc H1=0.547 H5=0.539 H20=0.528 | LR 2.70e-04 | GradNorm 0.004
2026-04-03 02:11:51,850  INFO      Epoch  10 | TrainLoss 0.0897 (BCE 0.1720 Huber 0.0074) | ValLoss 0.0897 (BCE 0.1725 Huber 0.0070) | Gap -0.0000 | ValAcc H1=0.540 H5=0.545 H20=0.523 | LR 3.00e-04 | GradNorm 0.005
2026-04-03 02:17:50,367  INFO      Epoch  11 | TrainLoss 0.0897 (BCE 0.1719 Huber 0.0074) | ValLoss 0.0896 (BCE 0.1722 Huber 0.0070) | Gap 0.0001 | ValAcc H1=0.544 H5=0.544 H20=0.521 | LR 2.14e-04 | GradNorm 0.005
2026-04-03 02:23:48,019  INFO      Epoch  12 | TrainLoss 0.0896 (BCE 0.1718 Huber 0.0074) | ValLoss 0.0894 (BCE 0.1719 Huber 0.0069) | Gap 0.0002 | ValAcc H1=0.551 H5=0.547 H20=0.532 | LR 2.00e-04 | GradNorm 0.005
2026-04-03 02:29:45,572  INFO      Epoch  13 | TrainLoss 0.0895 (BCE 0.1717 Huber 0.0074) | ValLoss 0.0895 (BCE 0.1721 Huber 0.0069) | Gap 0.0000 | ValAcc H1=0.546 H5=0.544 H20=0.535 | LR 1.85e-04 | GradNorm 0.005
2026-04-03 02:35:42,654  INFO      Epoch  14 | TrainLoss 0.0895 (BCE 0.1716 Huber 0.0074) | ValLoss 0.0896 (BCE 0.1723 Huber 0.0070) | Gap -0.0002 | ValAcc H1=0.549 H5=0.545 H20=0.530 | LR 1.70e-04 | GradNorm 0.005
2026-04-03 02:41:38,790  INFO      Epoch  15 | TrainLoss 0.0894 (BCE 0.1714 Huber 0.0074) | ValLoss 0.0896 (BCE 0.1723 Huber 0.0070) | Gap -0.0002 | ValAcc H1=0.546 H5=0.540 H20=0.529 | LR 1.55e-04 | GradNorm 0.006
